iter	RMSE
0	0.1617633298
1	0.1609868311
2	0.1606632045
3	0.1597745377
4	0.1586862074
5	0.1575312789
6	0.1563242364
7	0.1560899713
8	0.155871474
9	0.1547328138
10	0.1538473146
11	0.1528837573
12	0.1523810752
13	0.1518447941
14	0.1514118108
15	0.1512518443
16	0.1507400976
17	0.1501978748
18	0.1498156476
19	0.1493366147
20	0.1489427924
21	0.148494899
22	0.1476272987
23	0.1469351262
24	0.146600315
25	0.1459425753
26	0.1449230083
27	0.144569712
28	0.1439957103
29	0.1434926293
30	0.1430559981
31	0.1424537576
32	0.1421028742
33	0.1416951754
34	0.1414168094
35	0.1409289313
36	0.1405139614
37	0.1399404302
38	0.1394106265
39	0.1391767
40	0.138638725
41	0.1381856807
42	0.1375947884
43	0.1373886919
44	0.1373659415
45	0.1372404662
46	0.1370346336
47	0.1368911603
48	0.1364456033
49	0.1362469681
50	0.1355327998
51	0.1351596573
52	0.1345829451
53	0.1339537098
54	0.1332896775
55	0.1329706526
56	0.1323511844
57	0.1318720449
58	0.1318218755
59	0.1311858003
60	0.1311064607
61	0.1307695026
62	0.1301980323
63	0.129872257
64	0.1296897843
65	0.1291763717
66	0.129117381
67	0.1288945463
68	0.1284250112
69	0.1280313252
70	0.1279836073
71	0.127614486
72	0.1272520764
73	0.1268202806
74	0.1264169626
75	0.1263439605
76	0.1256822307
77	0.1252174594
78	0.1248434983
79	0.1246033989
80	0.1242298744
81	0.1237789749
82	0.1233886844
83	0.1228864847
84	0.122638052
85	0.1223775103
86	0.1221475088
87	0.1219984434
88	0.1214258674
89	0.1210745474
90	0.120582176
91	0.1200465501
92	0.1197957649
93	0.1194944953
94	0.1192995591
95	0.1188062934
96	0.1183933121
97	0.1178877292
98	0.1175891977
99	0.1171894751
100	0.1169969098
101	0.1166622563
102	0.1162441336
103	0.1160474402
104	0.1160152828
105	0.1159797905
106	0.1157175201
107	0.1155811982
108	0.1151930752
109	0.1149200369
110	0.1146574494
111	0.1144207607
112	0.114162115
113	0.1140024799
114	0.1135897569
115	0.1130931758
116	0.1124847488
117	0.1123598487
118	0.1121752758
119	0.1116435862
120	0.1112461742
121	0.1110088092
122	0.1106006579
123	0.1104328111
124	0.1101167591
125	0.1097664002
126	0.1095615629
127	0.1090825151
128	0.108892565
129	0.1085775323
130	0.1083614593
131	0.1077838085
132	0.1073386722
133	0.1070823041
134	0.1068598719
135	0.1066405295
136	0.1063590178
137	0.1061043391
138	0.1059067174
139	0.1056918006
140	0.1052304121
141	0.1049659544
142	0.1046126155
143	0.1042129804
144	0.1039801246
145	0.1036850377
146	0.1034759242
147	0.1032980831
148	0.103144368
149	0.1026982218
150	0.1025400122
151	0.1024610288
152	0.1022923249
153	0.1018784934
154	0.1014622528
155	0.1010975756
156	0.1009498909
157	0.1007642643
158	0.1003867764
159	0.1000826458
160	0.09986322083
161	0.09943362445
162	0.09892104288
163	0.0985938932
164	0.09827159556
165	0.09782160746
166	0.09760784739
167	0.09745398552
168	0.09706033234
169	0.09664506191
170	0.09648159893
171	0.09627156738
172	0.09608507022
173	0.0957587957
174	0.09546363311
175	0.09518384486
176	0.09475195037
177	0.09463267061
178	0.09452027072
179	0.09407960899
180	0.09387650051
181	0.09339842457
182	0.09301692647
183	0.09273684999
184	0.09241987611
185	0.09206179157
186	0.09189062435
187	0.09172381692
188	0.09161787758
189	0.09144240445
190	0.09111259196
191	0.09101519908
192	0.09073064763
193	0.09054171203
194	0.09019753516
195	0.08973906235
196	0.08961998975
197	0.08932883893
198	0.08889435856
199	0.08880384528
200	0.08849926605
201	0.0882215795
202	0.08793625271
203	0.08765084821
204	0.08744520841
205	0.0873573676
206	0.08711770225
207	0.08698183455
208	0.08680422558
209	0.08649559207
210	0.08613130828
211	0.08573256748
212	0.08563862045
213	0.08555420842
214	0.08521339464
215	0.08498627375
216	0.08454546129
217	0.08435025555
218	0.08400239929
219	0.08366505949
220	0.08346825728
221	0.0832808522
222	0.08302341786
223	0.08262493351
224	0.08254261485
225	0.08238728997
226	0.08209276747
227	0.08186687646
228	0.08175623355
229	0.08154721914
230	0.08130590321
231	0.08106115628
232	0.08093182162
233	0.08063416213
234	0.08050454887
235	0.08042787299
236	0.08019924025
237	0.07978371108
238	0.07967108743
239	0.07949776717
240	0.07908548976
241	0.07895962152
242	0.07866660044
243	0.07841408138
244	0.07834244376
245	0.07816198288
246	0.07805857623
247	0.07774597776
248	0.0775269288
249	0.07745941571
250	0.07735220744
251	0.07722240913
252	0.07692468844
253	0.07664735155
254	0.07629813031
255	0.07602571491
256	0.07576227317
257	0.07553086355
258	0.07516759636
259	0.07489982212
260	0.07463477299
261	0.07446184436
262	0.0742760277
263	0.07411163607
264	0.07407521935
265	0.07371550987
266	0.07348116017
267	0.07323490028
268	0.07303534866
269	0.07294396888
270	0.0728507261
271	0.0727962467
272	0.07256142033
273	0.07248132599
274	0.07242472121
275	0.07236209264
276	0.07220009186
277	0.07199691172
278	0.07170313335
279	0.07139574494
280	0.07124861074
281	0.07108385154
282	0.07098755329
283	0.07091070776
284	0.07054927928
285	0.07032749133
286	0.07027184148
287	0.07003658765
288	0.06986861837
289	0.06972092175
290	0.06960187105
291	0.0695222278
292	0.06921566799
293	0.06888544493
294	0.06867749323
295	0.06853902201
296	0.06833180985
297	0.06822829076
298	0.06810930757
299	0.06801806383
300	0.06790616258
301	0.06775696145
302	0.06764432037
303	0.0674713835
304	0.06733950269
305	0.06713413271
306	0.06702562754
307	0.06688163306
308	0.06669752393
309	0.0666385448
310	0.06651338343
311	0.06629238905
312	0.06623741752
313	0.06622215277
314	0.06603322606
315	0.06599320252
316	0.06576794056
317	0.06560605367
318	0.06533306435
319	0.06517705028
320	0.06502824392
321	0.06482626039
322	0.06476743778
323	0.06473568678
324	0.06465375066
325	0.06449543833
326	0.06446606005
327	0.064205372
328	0.06407972205
329	0.06392764782
330	0.06383800779
331	0.06368397626
332	0.06362716774
333	0.06354848226
334	0.06345924335
335	0.06331101783
336	0.06310474823
337	0.0630519173
338	0.06299962421
339	0.0629663089
340	0.06282379197
341	0.06267365744
342	0.06258264012
343	0.06248515458
344	0.06232325848
345	0.06221691258
346	0.06202691864
347	0.06197932338
348	0.06193790552
349	0.06185205171
350	0.06180972546
351	0.06172528025
352	0.06161063932
353	0.06145611977
354	0.06123706839
355	0.06109031247
356	0.06100462574
357	0.06087986138
358	0.06067768033
359	0.06062633695
360	0.0603950955
361	0.06027393861
362	0.06023670203
363	0.06014042288
364	0.06005810437
365	0.05978429975
366	0.05954629164
367	0.05942974976
368	0.05933153154
369	0.05919100326
370	0.0590905788
371	0.05904181432
372	0.0588444947
373	0.05868778883
374	0.05854255902
375	0.05843537016
376	0.05822276438
377	0.05811825084
378	0.05798757895
379	0.05789243534
380	0.05784156222
381	0.05779292918
382	0.05771679577
383	0.05743013605
384	0.05724982483
385	0.05705737625
386	0.05694435596
387	0.05693071211
388	0.05682753706
389	0.05679719157
390	0.05667459901
391	0.05659296075
392	0.05643740139
393	0.05624918632
394	0.05622073186
395	0.05618460423
396	0.05615565355
397	0.05610546545
398	0.05608134888
399	0.05592612155
400	0.05570470527
401	0.05567373946
402	0.05559825938
403	0.05549301048
404	0.05538633884
405	0.05516835858
406	0.05514147173
407	0.05502178724
408	0.05492241505
409	0.05489671641
410	0.05472999427
411	0.05465001046
412	0.05452936235
413	0.05445745009
414	0.05439179711
415	0.05437795364
416	0.0543508386
417	0.05422019149
418	0.05413983186
419	0.05401437362
420	0.05394116669
421	0.05380589819
422	0.05373777758
423	0.05354449731
424	0.05344629449
425	0.05334975535
426	0.05319683285
427	0.05317272609
428	0.05306589872
429	0.05297528799
430	0.05294582607
431	0.05292972041
432	0.0526650228
433	0.05262294413
434	0.05249262917
435	0.05248226468
436	0.05236210377
437	0.05225454485
438	0.05208972788
439	0.05197395888
440	0.0518502885
441	0.0518328938
442	0.05177718754
443	0.05154685247
444	0.0513799695
445	0.05132254528
446	0.05128854611
447	0.05123141292
448	0.05111901372
449	0.05109046567
450	0.05087591683
451	0.05083471261
452	0.05074329492
453	0.05066752624
454	0.05053629661
455	0.05033754835
456	0.05032632381
457	0.05017404178
458	0.05012192767
459	0.04998941896
460	0.04997901352
461	0.04994571109
462	0.04973537397
463	0.04966651295
464	0.04957204719
465	0.04944648136
466	0.04936315205
467	0.04924199518
468	0.0492233065
469	0.04921566131
470	0.04905900684
471	0.04894049496
472	0.04892351467
473	0.04885852448
474	0.04875226468
475	0.04865321716
476	0.04848979479
477	0.04837756534
478	0.04823925902
479	0.04820252327
480	0.04812144097
481	0.0479553039
482	0.0478143851
483	0.0477028639
484	0.04767231032
485	0.04764290256
486	0.04762006324
487	0.04747806139
488	0.04736523764
489	0.04732756295
490	0.0471354661
491	0.04696767261
492	0.04683859931
493	0.04669675918
494	0.04663948864
495	0.04659768818
496	0.04641993231
497	0.04635294441
498	0.04634009437
499	0.04624006072
